Fight Outcome,Name,Knockdowns,Strikes,Takedowns,Submission Attempts,Weight Class,Title Fight,Outcome Method,Number of Rounds
0,Rogerio Bontorin,0,6,1,2,Flyweight,0,KO/TKO,1
1,Tim Elliott,0,25,4,0,Flyweight,0,U-DEC,3
0,Jordan Espinosa,0,13,0,0,Flyweight,0,U-DEC,3
1,Kennedy Nzechukwu,1,82,0,0,Light Heavyweight,0,KO/TKO,2
0,Carlos Ulberg,0,146,0,0,Light Heavyweight,0,KO/TKO,2
1,Sean Brady,0,37,1,1,Welterweight,0,SUB,3
0,Jake Matthews,0,21,0,0,Welterweight,0,SUB,3
1,Amanda Lemos,2,29,0,0,Women's Strawweight,0,KO/TKO,1
0,Livinha Souza,0,1,0,0,Women's Strawweight,0,KO/TKO,1
1,Uros Medic,1,45,0,0,Lightweight,0,KO/TKO,1
0,Aalon Cruz,0,0,0,0,Lightweight,0,KO/TKO,1
1,Trevin Jones,1,23,0,0,Bantamweight,0,KO/TKO,2
0,Mario Bautista,0,21,0,0,Bantamweight,0,KO/TKO,2
1,Ciryl Gane,0,102,2,0,Heavyweight,0,U-DEC,5
0,Jairzinho Rozenstruik,0,42,0,0,Heavyweight,0,U-DEC,5
1,Magomed Ankalaev,0,43,3,0,Light Heavyweight,0,U-DEC,3
0,Nikita Krylov,0,47,1,0,Light Heavyweight,0,U-DEC,3
1,Montana De La Rosa,0,30,3,0,Women's Flyweight,0,M-DEC,3
0,Mayra Bueno Silva,0,52,0,1,Women's Flyweight,0,M-DEC,3
1,Pedro Munhoz,0,94,0,0,Bantamweight,0,U-DEC,3
0,Jimmie Rivera,0,65,1,0,Bantamweight,0,U-DEC,3
1,Alex Caceres,0,48,1,1,Featherweight,0,U-DEC,3
0,Kevin Croom,0,16,1,0,Featherweight,0,U-DEC,3
1,Thiago Moises,0,53,0,0,Lightweight,0,U-DEC,3
0,Alexander Hernandez,0,50,0,0,Lightweight,0,U-DEC,3
1,Alexis Davis,0,49,3,0,Women's Bantamweight,0,U-DEC,3
0,Sabina Mazo,0,64,0,0,Women's Bantamweight,0,U-DEC,3
1,Ronnie Lawrence,0,77,8,0,Bantamweight,0,KO/TKO,3
0,Vince Cachero,0,15,0,1,Bantamweight,0,KO/TKO,3
1,Dustin Jacoby,0,57,0,0,Light Heavyweight,0,U-DEC,3
0,Maxim Grishin,2,66,0,0,Light Heavyweight,0,U-DEC,3
1,Derrick Lewis,1,7,0,0,Heavyweight,0,KO/TKO,2
0,Curtis Blaydes,0,28,0,0,Heavyweight,0,KO/TKO,2
1,Yana Kunitskaya,0,47,0,0,Women's Bantamweight,0,U-DEC,3
0,Ketlen Vieira,0,7,3,0,Women's Bantamweight,0,U-DEC,3
1,Darrick Minner,1,45,4,3,Featherweight,0,U-DEC,3
0,Charles Rosa,0,15,0,2,Featherweight,0,U-DEC,3
1,Chris Daukaus,0,34,0,0,Heavyweight,0,KO/TKO,1
0,Aleksei Oleinik,0,5,0,0,Heavyweight,0,KO/TKO,1
1,Phil Hawes,0,31,4,0,Middleweight,0,M-DEC,3
0,Nassourdine Imavov,0,57,0,0,Middleweight,0,M-DEC,3
1,Tom Aspinall,0,37,1,1,Heavyweight,0,SUB,2
0,Andrei Arlovski,0,20,0,0,Heavyweight,0,SUB,2
1,Jared Gordon,0,82,2,0,Featherweight,0,U-DEC,3
0,Danny Chavez,0,39,1,0,Featherweight,0,U-DEC,3
1,John Castaneda,1,42,0,0,Bantamweight,0,KO/TKO,1
0,Eddie Wineland,0,17,1,0,Bantamweight,0,KO/TKO,1
1,Julian Erosa,1,15,0,0,Featherweight,0,KO/TKO,1
0,Nate Landwehr,0,9,0,0,Featherweight,0,KO/TKO,1
1,Casey O'Neill,0,49,4,1,Women's Flyweight,0,KO/TKO,2
0,Shana Dobson,0,16,0,0,Women's Flyweight,0,KO/TKO,2
1,Aiemann Zahabi,1,9,0,0,Bantamweight,0,KO/TKO,1
0,Drako Rodriguez,0,11,0,0,Bantamweight,0,KO/TKO,1
1,Serghei Spivac,0,51,3,0,Heavyweight,0,KO/TKO,2
0,Jared Vanderaa,0,13,0,0,Heavyweight,0,KO/TKO,2
1,Kamaru Usman,2,83,0,0,Welterweight,1,KO/TKO,3
0,Gilbert Burns,0,45,0,0,Welterweight,1,KO/TKO,3
1,Alexa Grasso,0,38,0,1,Women's Flyweight,0,U-DEC,3
0,Maycee Barber,0,40,3,0,Women's Flyweight,0,U-DEC,3
1,Kelvin Gastelum,0,38,6,0,Middleweight,0,U-DEC,3
0,Ian Heinisch,0,27,1,2,Middleweight,0,U-DEC,3
1,Ricky Simon,0,45,6,1,Featherweight,0,U-DEC,3
0,Brian Kelleher,0,19,0,0,Featherweight,0,U-DEC,3
1,Julian Marquez,0,41,0,4,Middleweight,0,SUB,3
0,Maki Pitolo,0,32,5,1,Middleweight,0,SUB,3
1,Anthony Hernandez,0,32,0,2,Middleweight,0,SUB,2
0,Rodolfo Vieira,0,9,4,0,Middleweight,0,SUB,2
1,Belal Muhammad,0,129,1,0,Welterweight,0,U-DEC,3
0,Dhiego Lima,0,69,0,0,Welterweight,0,U-DEC,3
1,Polyana Viana,0,4,0,5,Women's Strawweight,0,SUB,1
0,Mallory Martin,0,5,1,0,Women's Strawweight,0,SUB,1
1,Chris Gutierrez,1,69,1,0,Catch Weight,0,U-DEC,3
0,Andre Ewell,0,59,1,1,Catch Weight,0,U-DEC,3
1,Gabe Green,2,70,2,1,Welterweight,0,U-DEC,3
0,Philip Rowe,0,42,2,0,Welterweight,0,U-DEC,3
1,Alexander Volkov,1,54,0,0,Heavyweight,0,KO/TKO,2
0,Alistair Overeem,0,10,0,0,Heavyweight,0,KO/TKO,2
1,Cory Sandhagen,1,2,0,0,Bantamweight,0,KO/TKO,1
0,Frankie Edgar,0,2,0,0,Bantamweight,0,KO/TKO,1
1,Clay Guida,0,49,3,1,Lightweight,0,U-DEC,3
0,Michael Johnson,0,58,0,0,Lightweight,0,U-DEC,3
1,Alexandre Pantoja,0,74,0,0,Flyweight,0,U-DEC,3
0,Manel Kape,0,49,2,0,Flyweight,0,U-DEC,3
1,Beneil Dariush,0,62,5,0,Lightweight,0,S-DEC,3
0,Diego Ferreira,0,54,0,0,Lightweight,0,S-DEC,3
1,Danilo Marques,0,29,4,2,Light Heavyweight,0,SUB,2
0,Mike Rodriguez,0,16,0,0,Light Heavyweight,0,SUB,2
1,Devonte Smith,0,34,1,1,Catch Weight,0,KO/TKO,2
0,Justin Jaynes,0,11,0,0,Catch Weight,0,KO/TKO,2
1,Karol Rosa,0,57,4,0,Women's Bantamweight,0,U-DEC,3
0,Joselyne Edwards,0,38,1,0,Women's Bantamweight,0,U-DEC,3
1,Lara Procopio,0,36,7,1,Women's Flyweight,0,U-DEC,3
0,Molly McCann,0,37,0,1,Women's Flyweight,0,U-DEC,3
1,SeungWoo Choi,0,41,2,0,Featherweight,0,U-DEC,3
0,Youssef Zalal,0,23,3,1,Featherweight,0,U-DEC,3
1,Timur Valiev,0,55,4,0,Featherweight,0,U-DEC,3
0,Martin Day,0,8,0,0,Featherweight,0,U-DEC,3
1,Ode Osbourne,1,5,0,0,Featherweight,0,KO/TKO,1
0,Jerome Rivera,0,2,0,0,Featherweight,0,KO/TKO,1
1,Dustin Poirier,1,48,1,0,Lightweight,0,KO/TKO,2
0,Conor McGregor,0,29,0,0,Lightweight,0,KO/TKO,2
1,Michael Chandler,1,17,0,0,Lightweight,0,KO/TKO,1
0,Dan Hooker,0,8,0,0,Lightweight,0,KO/TKO,1
1,Joanne Calderwood,0,148,1,0,Women's Flyweight,0,U-DEC,3
0,Jessica Eye,0,77,1,0,Women's Flyweight,0,U-DEC,3
1,Makhmud Muradov,0,79,0,0,Middleweight,0,KO/TKO,3
0,Andrew Sanchez,0,48,0,0,Middleweight,0,KO/TKO,3
1,Marina Rodriguez,1,15,0,0,Women's Strawweight,0,KO/TKO,2
